UniProtIds,Genes,ProteinGroups,ProteinNames,ProteinDescriptions,Valid,Comparison (group1/group2),Condition Numerator,Condition Denominator,# of Ratios,Group,AVG Group Quantity Denominator,AVG Group Quantity Numerator,AVG Log2 Ratio,Absolute AVG Log2 Ratio,% Change,Ratio,Standard Deviation,Pvalue,Qvalue,Degrees Of Freedom,Standard Error,Organisms,Protein Coverage,Molecular Weight,GO Biological Process,GO Molecular Function,GO Cellular Component,Database,Protein Existence,Sequence Version,FASTAName,FASTAHeader,# Unique Total Peptides,# Unique Total EG.Id
P08238,HSP90AB1,P08238,HS90B_HUMAN,Heat shock protein HSP 90-beta,TRUE,M / MaN,M,MaN,180,P08238,1221.98889160156,3172.48022460937,1.38,1.38,159.62,2.60,0,1.38E-02,5.39E-02,179,0.161386980268434,Homo sapiens,0%,83264.19,"placenta development,protein folding,response to unfolded protein,response to salt stress,virion attachment to host cell,regulation of protein ubiquitination,positive regulation of protein binding,negative regulation of proteasomal ubiquitin-dependent protein catabolic process,positive regulation of phosphoprotein phosphatase activity,positive regulation of protein import into nucleus, translocation,cellular response to drug,Fc-gamma receptor signaling pathway involved in phagocytosis,response to cocaine,negative regulation of neuron apoptotic process,positive regulation of nitric oxide biosynthetic process,positive regulation of cell size,protein stabilization,regulation of interferon-gamma-mediated signaling pathway,regulation of type I interferon-mediated signaling pathway,cellular response to interleukin-4,cellular response to organic cyclic compound,positive regulation of protein serine/threonine kinase activity,fibril organization,cell-cell adhesion,regulation of cellular response to heat,negative regulation of complement-dependent cytotoxicity","glycoprotein binding,UTP binding,CTP binding,double-stranded RNA binding,protein binding,ATP binding,GTP binding,drug binding,sulfonylurea receptor binding,protein kinase regulator activity,kinase binding,protein kinase binding,MHC class II protein complex binding,nitric-oxide synthase regulator activity,TPR domain binding,dATP binding,histone deacetylase binding,ion channel binding,poly(A) RNA binding,unfolded protein binding,cadherin binding involved in cell-cell adhesion","nucleoplasm,cytoplasm,mitochondrion,lysosomal membrane,cytosol,cell-cell adherens junction,cell surface,membrane,inclusion body,basolateral plasma membrane,apical plasma membrane,brush border membrane,melanosome,extracellular exosome,sperm head plasma membrane,ooplasm,COP9 signalosome",sp,1,4,uniprot_sprot_2015-08-28_HUMAN,>sp|P08238|HS90B_HUMAN Heat shock protein HSP 90-beta OS=Homo sapiens GN=HSP90AB1 PE=1 SV=4,72,149
P08246,ELANE,P08246,ELNE_HUMAN,Neutrophil elastase,TRUE,M / MaN,M,MaN,50,P08246,142.966735839843,269.863006591796,0.92,0.92,88.76,1.89,0,3.33E-01,3.88E-01,49,0.286462311019808,Homo sapiens,0%,28518.06,"negative regulation of transcription from RNA polymerase II promoter,response to yeast,acute inflammatory response to antigenic stimulus,leukocyte migration involved in inflammatory response,proteolysis,cellular calcium ion homeostasis,phagocytosis,response to UV,extracellular matrix disassembly,protein catabolic process,response to lipopolysaccharide,defense response to bacterium,positive regulation of MAP kinase activity,negative regulation of growth of symbiont in host,negative regulation of chemokine biosynthetic process,negative regulation of interleukin-8 biosynthetic process,positive regulation of interleukin-8 biosynthetic process,positive regulation of smooth muscle cell proliferation,negative regulation of inflammatory response,positive regulation of immune response,negative regulation of chemotaxis,neutrophil mediated killing of fungus,positive regulation of leukocyte tethering or rolling","RNA polymerase II transcription corepressor activity,protease binding,endopeptidase activity,serine-type endopeptidase activity,protein binding,heparin binding,peptidase activity,cytokine binding","extracellular region,extracellular space,cytoplasm,cell surface,transcriptional repressor complex,secretory granule,extracellular exosome",sp,1,1,uniprot_sprot_2015-08-28_HUMAN,>sp|P08246|ELNE_HUMAN Neutrophil elastase OS=Homo sapiens GN=ELANE PE=1 SV=1,13,35
P08311,CTSG,P08311,CATG_HUMAN,Cathepsin G,TRUE,M / MaN,M,MaN,80,P08311,8419.375,4247.47216796875,-0.99,0.99,-49.55,0.50,0,1.84E-01,2.80E-01,79,0.391157119838034,Homo sapiens,0%,28837.21,"angiotensin maturation,protein phosphorylation,proteolysis,immune response,protein processing,extracellular matrix disassembly,response to lipopolysaccharide,negative regulation of growth of symbiont in host,cellular protein metabolic process,positive regulation of immune response,defense response to fungus,neutrophil mediated killing of gram-positive bacterium","serine-type endopeptidase activity,heparin binding,peptidase activity","extracellular region,extracellular space,nucleus,plasma membrane,cell surface,secretory granule,extracellular exosome,extracellular matrix",sp,1,2,uniprot_sprot_2015-08-28_HUMAN,>sp|P08311|CATG_HUMAN Cathepsin G OS=Homo sapiens GN=CTSG PE=1 SV=2,19,34
P08493,MGP,P08493,MGP_HUMAN,Matrix Gla protein,TRUE,M / MaN,M,MaN,5,P08493,16.6874198913574,36.4605064392089,1.13,1.13,118.49,2.18,0,9.39E-01,6.35E-01,4,0.991802696700576,Homo sapiens,0%,12353.19,"cartilage condensation,ossification,cell differentiation,regulation of bone mineralization","extracellular matrix structural constituent,calcium ion binding,protein binding,structural constituent of bone","proteinaceous extracellular matrix,extracellular matrix,extracellular exosome",sp,1,2,uniprot_sprot_2015-08-28_HUMAN,>sp|P08493|MGP_HUMAN Matrix Gla protein OS=Homo sapiens GN=MGP PE=1 SV=2,2,2
P08559,PDHA1,P08559,ODPA_HUMAN,"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial",TRUE,M / MaN,M,MaN,15,P08559,121.091087341308,58.8112030029296,-1.04,1.04,-51.43,0.49,0,4.33E-02,1.12E-01,14,0.443956743753109,Homo sapiens,0%,43295.62,"glucose metabolic process,acetyl-CoA biosynthetic process from pyruvate,pyruvate metabolic process,tricarboxylic acid cycle,regulation of acetyl-CoA biosynthetic process from pyruvate,glyoxylate metabolic process,mitochondrial acetyl-CoA biosynthetic process from pyruvate","pyruvate dehydrogenase activity,pyruvate dehydrogenase (acetyl-transferring) activity,pyruvate dehydrogenase (NAD+) activity","nucleus,mitochondrion,mitochondrial matrix,myelin sheath,pyruvate dehydrogenase complex",sp,1,3,uniprot_sprot_2015-08-28_HUMAN,">sp|P08559|ODPA_HUMAN Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial OS=Homo sapiens GN=PDHA1 PE=1 SV=3",31,47
P08572,COL4A2,P08572,CO4A2_HUMAN,Collagen alpha-2(IV) chain,TRUE,M / MaN,M,MaN,75,P08572,30610.015625,140674.90625,2.20,2.20,359.57,4.60,0,1.85E-07,3.39E-06,74,0.423763759581445,Homo sapiens,1.50%,167553.1,"angiogenesis,transcription, DNA-templated,negative regulation of angiogenesis,extracellular matrix organization,collagen catabolic process,endodermal cell differentiation,cellular response to transforming growth factor beta stimulus",extracellular matrix structural constituent,"extracellular region,collagen type IV trimer,endoplasmic reticulum lumen,extracellular matrix,intracellular membrane-bounded organelle,extracellular exosome",sp,1,4,uniprot_sprot_2015-08-28_HUMAN,>sp|P08572|CO4A2_HUMAN Collagen alpha-2(IV) chain OS=Homo sapiens GN=COL4A2 PE=1 SV=4,15,19
P08574,CYC1,P08574,CY1_HUMAN,"Cytochrome c1, heme protein, mitochondrial",TRUE,M / MaN,M,MaN,20,P08574,115.034286499023,101.421485900878,-0.18,0.18,-11.83,0.88,0,7.76E-01,5.89E-01,19,0.664421555603827,Homo sapiens,0%,35421.97,"mitochondrial electron transport, ubiquinol to cytochrome c,response to glucagon","heme binding,electron transporter, transferring electrons from CoQH2-cytochrome c reductase complex and cytochrome c oxidase complex activity,metal ion binding","nucleus,mitochondrion,mitochondrial inner membrane,membrane,integral component of membrane,respiratory chain",sp,1,3,uniprot_sprot_2015-08-28_HUMAN,">sp|P08574|CY1_HUMAN Cytochrome c1, heme protein, mitochondrial OS=Homo sapiens GN=CYC1 PE=1 SV=3",14,20
P08603,CFH,P08603,CFAH_HUMAN,Complement factor H,TRUE,M / MaN,M,MaN,70,P08603,384.954833984375,141.71401977539,-1.44,1.44,-63.19,0.37,0,7.71E-01,5.88E-01,69,0.239498208353633,Homo sapiens,0%,139096.31,"complement activation,complement activation, alternative pathway,regulation of complement activation","protein binding,heparin binding,heparan sulfate proteoglycan binding","extracellular region,extracellular space,extracellular exosome,blood microparticle",sp,1,4,uniprot_sprot_2015-08-28_HUMAN,>sp|P08603|CFAH_HUMAN Complement factor H OS=Homo sapiens GN=CFH PE=1 SV=4,64,112
P08670,VIM,P08670,VIME_HUMAN,Vimentin,TRUE,M / MaN,M,MaN,385,P08670,13018.89453125,9242.1513671875,-0.49,0.49,-29.01,0.71,0,1.19E-11,3.54E-10,384,0.159560767824517,Homo sapiens,2.60%,53651.68,"movement of cell or subcellular component,positive regulation of gene expression,negative regulation of neuron projection development,astrocyte development,viral process,muscle filament sliding,intermediate filament organization,Bergmann glial cell differentiation,SMAD protein signal transduction,lens fiber cell development","glycoprotein binding,double-stranded RNA binding,structural constituent of cytoskeleton,structural constituent of eye lens,protein binding,protein C-terminus binding,identical protein binding,scaffold protein binding,keratin filament binding","cytoplasm,peroxisome,cytosol,cytoskeleton,intermediate filament,focal adhesion,extracellular matrix,cell leading edge,neuron projection,intermediate filament cytoskeleton,extracellular exosome,plasma membrane",sp,1,4,uniprot_sprot_2015-08-28_HUMAN,>sp|P08670|VIME_HUMAN Vimentin OS=Homo sapiens GN=VIM PE=1 SV=4,93,188
P08708;P0CW22,RPS17;RPS17L,P08708;P0CW22,RS17_HUMAN;RS17L_HUMAN,40S ribosomal protein S17;40S ribosomal protein S17-like,TRUE,M / MaN,M,MaN,15,P08708;P0CW22,90.3144607543945,72.9060592651367,-0.31,0.31,-19.28,0.81,0,5.85E-01,5.19E-01,14,0.38088335204814,Homo sapiens,0%;0%,15550.12;15550.12,"ribosomal small subunit assembly,nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,rRNA processing,translation,translational initiation,SRP-dependent cotranslational protein targeting to membrane,viral transcription,erythrocyte homeostasis,ribosomal small subunit biogenesis;","structural constituent of ribosome,poly(A) RNA binding;","nucleoplasm,cytosol,ribosome,focal adhesion,membrane,cytosolic small ribosomal subunit,extracellular matrix,extracellular exosome;",sp,1,2;1,uniprot_sprot_2015-08-28_HUMAN,>sp|P08708|RS17_HUMAN 40S ribosomal protein S17 OS=Homo sapiens GN=RPS17 PE=1 SV=2;>sp|P0CW22|RS17L_HUMAN 40S ribosomal protein S17-like OS=Homo sapiens GN=RPS17L PE=1 SV=1,13,23
P08727,KRT19,P08727,K1C19_HUMAN,"Keratin, type I cytoskeletal 19",TRUE,M / MaN,M,MaN,210,P08727,283698.375,34865.15625,-3.02,3.02,-87.71,0.12,0,5.84E-12,1.90E-10,209,0.231102665250251,Homo sapiens,11.20%,44105.99,"Notch signaling pathway,viral process,response to estrogen,sarcomere organization,cell differentiation involved in embryonic placenta development","structural constituent of cytoskeleton,protein binding,structural constituent of muscle,protein complex binding","intermediate filament,plasma membrane,dystrophin-associated glycoprotein complex,Z disc,sarcolemma,costamere,extracellular exosome,cell periphery,terminal web",sp,1,4,uniprot_sprot_2015-08-28_HUMAN,">sp|P08727|K1C19_HUMAN Keratin, type I cytoskeletal 19 OS=Homo sapiens GN=KRT19 PE=1 SV=4",42,81
P08729,KRT7,P08729,K2C7_HUMAN,"Keratin, type II cytoskeletal 7",TRUE,M / MaN,M,MaN,175,P08729,14161.564453125,5059.67333984375,-1.48,1.48,-64.27,0.36,0,2.57E-01,3.38E-01,174,0.282125396207084,Homo sapiens,27.90%,51385.66,viral process,"structural molecule activity,protein binding","nucleus,cytoplasm,intermediate filament,keratin filament,extracellular exosome",sp,1,5,uniprot_sprot_2015-08-28_HUMAN,">sp|P08729|K2C7_HUMAN Keratin, type II cytoskeletal 7 OS=Homo sapiens GN=KRT7 PE=1 SV=5",49,73
P08754,GNAI3,P08754,GNAI3_HUMAN,Guanine nucleotide-binding protein G(k) subunit alpha,TRUE,M / MaN,M,MaN,15,P08754,75.8519897460937,20.0536022186279,-1.92,1.92,-73.56,0.26,0,6.08E-02,1.41E-01,14,0.691805120715939,Homo sapiens,0%,40532.19,"protein folding,transport,vesicle fusion,cell cycle,adenylate cyclase-inhibiting G-protein coupled receptor signaling pathway,negative regulation of adenylate cyclase activity,dopamine receptor signaling pathway,GTP metabolic process,cell division","G-protein coupled receptor binding,GTPase activity,signal transducer activity,protein binding,GTP binding,GDP binding,protein domain specific binding,G-protein beta/gamma-subunit complex binding,G-protein coupled serotonin receptor binding,GTPase activating protein binding,metal ion binding","cytoplasm,lysosomal membrane,Golgi apparatus,centrosome,heterotrimeric G-protein complex,plasma membrane,membrane,midbody,zymogen granule,membrane raft,extracellular exosome",sp,1,3,uniprot_sprot_2015-08-28_HUMAN,>sp|P08754|GNAI3_HUMAN Guanine nucleotide-binding protein G(k) subunit alpha OS=Homo sapiens GN=GNAI3 PE=1 SV=3,16,24
P08758,ANXA5,P08758,ANXA5_HUMAN,Annexin A5,TRUE,M / MaN,M,MaN,55,P08758,189.769912719726,436.68701171875,1.20,1.20,130.11,2.30,0,3.94E-01,4.28E-01,54,0.337472279178493,Homo sapiens,0%,35936.76,"signal transduction,blood coagulation,response to organic substance,negative regulation of apoptotic process,negative regulation of catalytic activity,negative regulation of coagulation","phospholipase inhibitor activity,calcium ion binding,phospholipid binding,calcium-dependent phospholipid binding","intracellular,cytoplasm,focal adhesion,external side of plasma membrane,membrane,extracellular exosome,endothelial microparticle",sp,1,2,uniprot_sprot_2015-08-28_HUMAN,>sp|P08758|ANXA5_HUMAN Annexin A5 OS=Homo sapiens GN=ANXA5 PE=1 SV=2,45,70
P08779,KRT16,P08779,K1C16_HUMAN,"Keratin, type I cytoskeletal 16",TRUE,M / MaN,M,MaN,175,P08779,303732.3125,1976.9140625,-7.26,7.26,-99.35,0.01,0,1.62E-18,1.12E-16,174,0.313230567078636,Homo sapiens,29.60%,51267.82,"morphogenesis of an epithelium,inflammatory response,cytoskeleton organization,aging,cell proliferation,epidermis development,keratinocyte differentiation,negative regulation of cell migration,keratinization,hair cycle,innate immune response,intermediate filament cytoskeleton organization,keratinocyte migration,establishment of skin barrier","structural constituent of cytoskeleton,protein binding","nucleus,cytoskeleton,intermediate filament,extracellular exosome",sp,1,4,uniprot_sprot_2015-08-28_HUMAN,">sp|P08779|K1C16_HUMAN Keratin, type I cytoskeletal 16 OS=Homo sapiens GN=KRT16 PE=1 SV=4",25,45
P08865,RPSA,P08865,RSSA_HUMAN,40S ribosomal protein SA,TRUE,M / MaN,M,MaN,35,P08865,146.497283935546,198.825866699218,0.44,0.44,35.72,1.36,0,5.64E-01,5.14E-01,34,0.35254429993821,Homo sapiens,0%,32854.07,"ribosomal small subunit assembly,nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA),endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA),rRNA processing,rRNA export from nucleus,translation,translational initiation,SRP-dependent cotranslational protein targeting to membrane,cell adhesion,viral transcription,viral entry into host cell","virus receptor activity,structural constituent of ribosome,laminin receptor activity,protein binding,ribosome binding,laminin binding,poly(A) RNA binding","nucleus,nucleoplasm,cytoplasm,cytosol,plasma membrane,membrane,cytosolic small ribosomal subunit,90S preribosome,extracellular exosome",sp,1,4,uniprot_sprot_2015-08-28_HUMAN,>sp|P08865|RSSA_HUMAN 40S ribosomal protein SA OS=Homo sapiens GN=RPSA PE=1 SV=4,21,46
P09038,FGF2,P09038,FGF2_HUMAN,Fibroblast growth factor 2,TRUE,M / MaN,M,MaN,5,P09038,22.9449405670166,26.9031677246093,0.23,0.23,17.25,1.17,0,8.76E-01,6.23E-01,4,1.26711489175529,Homo sapiens,0%,30769.97,"MAPK cascade,activation of MAPK activity,branching involved in ureteric bud morphogenesis,positive regulation of endothelial cell proliferation,cell migration involved in sprouting angiogenesis,phosphatidylinositol biosynthetic process,chemotaxis,signal transduction,Ras protein signal transduction,nervous system development,positive regulation of cell proliferation,fibroblast growth factor receptor signaling pathway,animal organ morphogenesis,negative regulation of fibroblast migration,positive regulation of phospholipase C activity,regulation of phosphatidylinositol 3-kinase signaling,growth factor dependent regulation of skeletal muscle satellite cell proliferation,peptidyl-tyrosine phosphorylation,extracellular matrix organization,hyaluronan catabolic process,inositol phosphate biosynthetic process,somatic stem cell population maintenance,phosphatidylinositol-3-phosphate biosynthetic process,wound healing,positive regulation of cell fate specification,positive regulation of MAP kinase activity,positive regulation of blood vessel endothelial cell migration,negative regulation of blood vessel endothelial cell migration,positive regulation of GTPase activity,positive regulation of phosphatidylinositol 3-kinase activity,regulation of angiogenesis,positive regulation of angiogenesis,positive regulation of transcription, DNA-templated,positive regulation of transcription from RNA polymerase II promoter,phosphatidylinositol phosphorylation,phosphatidylinositol-mediated signaling,embryonic morphogenesis,positive chemotaxis,release of sequestered calcium ion into cytosol,positive regulation of cell division,positive regulation of cardiac muscle cell proliferation,negative regulation of cell death,chondroblast differentiation,negative regulation of wound healing,positive regulation of ERK1 and ERK2 cascade,positive regulation of sprouting angiogenesis,regulation of endothelial cell chemotaxis to fibroblast growth factor,positive regulation of endothelial cell chemotaxis to fibroblast growth factor","protein tyrosine kinase activity,Ras guanyl-nucleotide exchange factor activity,fibroblast growth factor receptor binding,cytokine activity,protein binding,growth factor activity,heparin binding,1-phosphatidylinositol-3-kinase activity,ligand-dependent nuclear receptor transcription coactivator activity,chemoattractant activity,phosphatidylinositol-4,5-bisphosphate 3-kinase activity","extracellular region,extracellular space,nucleus",sp,1,3,uniprot_sprot_2015-08-28_HUMAN,>sp|P09038|FGF2_HUMAN Fibroblast growth factor 2 OS=Homo sapiens GN=FGF2 PE=1 SV=3,5,6
P09110,ACAA1,P09110,THIK_HUMAN,"3-ketoacyl-CoA thiolase, peroxisomal",TRUE,M / MaN,M,MaN,50,P09110,1003.64862060546,436.850219726562,-1.20,1.20,-56.47,0.44,0,4.16E-02,1.09E-01,49,0.350026257635698,Homo sapiens,0%,44291.98,"very long-chain fatty acid metabolic process,fatty acid beta-oxidation,bile acid metabolic process,fatty acid beta-oxidation using acyl-CoA oxidase,alpha-linolenic acid metabolic process","acetyl-CoA C-acyltransferase activity,protein binding,acetate CoA-transferase activity,palmitoyl-CoA oxidase activity","peroxisome,peroxisomal matrix,membrane,intracellular membrane-bounded organelle",sp,1,2,uniprot_sprot_2015-08-28_HUMAN,">sp|P09110|THIK_HUMAN 3-ketoacyl-CoA thiolase, peroxisomal OS=Homo sapiens GN=ACAA1 PE=1 SV=2",24,40
P09327,VIL1,P09327,VILI_HUMAN,Villin-1,TRUE,M / MaN,M,MaN,100,P09327,69.4093017578125,327.327087402343,2.24,2.24,371.59,4.72,0,1.05E-04,1.15E-03,99,0.23560752102265,Homo sapiens,0%,92695.08,"intestinal D-glucose absorption,protein complex assembly,apoptotic process,epidermal growth factor receptor signaling pathway,regulation of cell shape,response to bacterium,positive regulation of epithelial cell migration,actin filament polymerization,actin filament depolymerization,positive regulation of cell migration,positive regulation of actin filament depolymerization,epithelial cell differentiation,positive regulation of actin filament bundle assembly,regulation of microvillus length,cellular response to hepatocyte growth factor stimulus,positive regulation of multicellular organism growth,negative regulation of cysteine-type endopeptidase activity involved in apoptotic process,actin nucleation,actin filament severing,barbed-end actin filament capping,regulation of actin nucleation,actin filament capping,cytoplasmic actin-based contraction involved in cell motility,regulation of wound healing,cellular response to epidermal growth factor stimulus,positive regulation of establishment of protein localization to plasma membrane,terminal web assembly,regulation of lamellipodium morphogenesis,positive regulation of lamellipodium morphogenesis","calcium ion binding,protein binding,phosphatidylinositol-4,5-bisphosphate binding,lysophosphatidic acid binding,identical protein binding,protein homodimerization activity,cysteine-type endopeptidase inhibitor activity involved in apoptotic process,actin filament binding","ruffle,nucleoplasm,cytoplasm,plasma membrane,microvillus,brush border,lamellipodium,filopodium,actin filament bundle,filopodium tip,extracellular exosome",sp,1,4,uniprot_sprot_2015-08-28_HUMAN,>sp|P09327|VILI_HUMAN Villin-1 OS=Homo sapiens GN=VIL1 PE=1 SV=4,45,70
P09382,LGALS1,P09382,LEG1_HUMAN,Galectin-1,TRUE,M / MaN,M,MaN,15,P09382,73.2784347534179,434.082946777343,2.57,2.57,492.37,5.92,0,3.53E-02,9.95E-02,14,0.770968026691243,Homo sapiens,0%,14715.7,"plasma cell differentiation,apoptotic process,signal transduction,negative regulation of cell-substrate adhesion,negative regulation of neuron projection development,T cell costimulation,multicellular organismal response to stress,positive regulation of erythrocyte aggregation,response to drug,regulation of apoptotic process,positive regulation of I-kappaB kinase/NF-kappaB signaling,myoblast differentiation,positive regulation of viral entry into host cell,response to axon injury,cellular response to glucose stimulus,cellular response to organic cyclic compound,positive regulation of dendritic cell differentiation","glycoprotein binding,signal transducer activity,protein binding,lactose binding,protein homodimerization activity,laminin binding,poly(A) RNA binding","proteinaceous extracellular matrix,extracellular space,intracellular,nucleus,cytoplasm,cell surface,extracellular matrix,extracellular exosome",sp,1,2,uniprot_sprot_2015-08-28_HUMAN,>sp|P09382|LEG1_HUMAN Galectin-1 OS=Homo sapiens GN=LGALS1 PE=1 SV=2,17,33
P09493,TPM1,P09493,TPM1_HUMAN,Tropomyosin alpha-1 chain,TRUE,M / MaN,M,MaN,15,P09493,400.367004394531,82.1021728515625,-2.29,2.29,-79.49,0.21,0,8.66E-01,6.20E-01,14,0.87230089764716,Homo sapiens,4.60%,32708.56,"in utero embryonic development,positive regulation of heart rate by epinephrine,movement of cell or subcellular component,muscle contraction,regulation of muscle contraction,cytoskeleton organization,regulation of heart contraction,regulation of cell shape,muscle filament sliding,negative regulation of cell migration,ruffle organization,positive regulation of ATPase activity,cellular response to reactive oxygen species,wound healing,sarcomere organization,positive regulation of cell adhesion,positive regulation of stress fiber assembly,ventricular cardiac muscle tissue morphogenesis,cardiac muscle contraction,negative regulation of vascular smooth muscle cell proliferation,negative regulation of vascular associated smooth muscle cell migration","actin binding,structural constituent of cytoskeleton,cytoskeletal protein binding,structural constituent of muscle","stress fiber,cytosol,cytoskeleton,muscle thin filament tropomyosin,sarcomere,filamentous actin,bleb,ruffle membrane",sp,1,2,uniprot_sprot_2015-08-28_HUMAN,>sp|P09493|TPM1_HUMAN Tropomyosin alpha-1 chain OS=Homo sapiens GN=TPM1 PE=1 SV=2,24,36
P09525,ANXA4,P09525,ANXA4_HUMAN,Annexin A4,TRUE,M / MaN,M,MaN,90,P09525,205.415756225585,846.018432617187,2.04,2.04,311.86,4.12,0,5.83E-04,4.94E-03,89,0.268206115957213,Homo sapiens,0%,35882.71,"regulation of transcription from RNA polymerase II promoter,signal transduction,Notch signaling pathway,epithelial cell differentiation,negative regulation of NF-kappaB transcription factor activity,negative regulation of apoptotic process,negative regulation of catalytic activity,negative regulation of interleukin-8 secretion","phospholipase inhibitor activity,calcium ion binding,calcium-dependent phospholipid binding,identical protein binding,calcium-dependent protein binding,NF-kappaB binding","nucleus,cytoplasm,plasma membrane,cell surface,vesicle membrane,nuclear membrane,perinuclear region of cytoplasm,extracellular exosome",sp,1,4,uniprot_sprot_2015-08-28_HUMAN,>sp|P09525|ANXA4_HUMAN Annexin A4 OS=Homo sapiens GN=ANXA4 PE=1 SV=4,45,70
P09543,CNP,P09543,CN37_HUMAN,"2',3'-cyclic-nucleotide 3'-phosphodiesterase",TRUE,M / MaN,M,MaN,20,P09543,117.957855224609,59.4211883544921,-0.99,0.99,-49.63,0.50,0,6.29E-02,1.44E-01,19,0.475196610330673,Homo sapiens,2.10%,47578.62,"microtubule cytoskeleton organization,chemical synaptic transmission,axonogenesis,aging,adult locomotory behavior,cyclic nucleotide catabolic process,response to toxic substance,substantia nigra development,forebrain development,response to lipopolysaccharide,regulation of mitochondrial membrane permeability,oligodendrocyte differentiation","RNA binding,2',3'-cyclic-nucleotide 3'-phosphodiesterase activity,cyclic nucleotide binding","extracellular space,nucleus,nucleoplasm,cytoplasm,mitochondrial outer membrane,mitochondrial inner membrane,plasma membrane,microvillus,membrane,pseudopodium,myelin sheath abaxonal region,myelin sheath adaxonal region,melanosome,perinuclear region of cytoplasm,extracellular exosome",sp,1,2,uniprot_sprot_2015-08-28_HUMAN,">sp|P09543|CN37_HUMAN 2',3'-cyclic-nucleotide 3'-phosphodiesterase OS=Homo sapiens GN=CNP PE=1 SV=2",33,42
P09651,HNRNPA1,P09651,ROA1_HUMAN,Heterogeneous nuclear ribonucleoprotein A1,TRUE,M / MaN,M,MaN,50,P09651,476.089416503906,273.254119873046,-0.80,0.80,-42.60,0.57,0,7.60E-01,5.83E-01,49,0.367242805617947,Homo sapiens,7%,38746.65,"mRNA splicing, via spliceosome,mRNA processing,RNA export from nucleus,fibroblast growth factor receptor signaling pathway,gene expression,viral process,negative regulation of telomere maintenance via telomerase,positive regulation of telomere maintenance via telomerase,mRNA transport,nuclear export,nuclear import","nucleotide binding,single-stranded DNA binding,RNA binding,single-stranded RNA binding,protein binding,poly(A) RNA binding,telomeric repeat-containing RNA binding,G-rich strand telomeric DNA binding","nucleus,nucleoplasm,spliceosomal complex,cytoplasm,membrane,intracellular ribonucleoprotein complex,extracellular exosome,catalytic step 2 spliceosome",sp,1,5,uniprot_sprot_2015-08-28_HUMAN,>sp|P09651|ROA1_HUMAN Heterogeneous nuclear ribonucleoprotein A1 OS=Homo sapiens GN=HNRNPA1 PE=1 SV=5,41,92
P09669,COX6C,P09669,COX6C_HUMAN,Cytochrome c oxidase subunit 6C,TRUE,M / MaN,M,MaN,25,P09669,253.75389099121,312.838287353515,0.30,0.30,23.28,1.23,0,5.66E-01,5.14E-01,24,0.482521544267978,Homo sapiens,0%,8781.43,"generation of precursor metabolites and energy,mitochondrial electron transport, cytochrome c to oxygen,hydrogen ion transmembrane transport",cytochrome-c oxidase activity,"mitochondrion,mitochondrial inner membrane,integral component of membrane",sp,1,2,uniprot_sprot_2015-08-28_HUMAN,>sp|P09669|COX6C_HUMAN Cytochrome c oxidase subunit 6C OS=Homo sapiens GN=COX6C PE=1 SV=2,6,7
